Internet Archive ID,BHL Item ID,BHL Page ID,Sequence,Page Number,Page Type,Has Illustration
mobot31753002572805,1112,695234,167,Page 133,Text,No
mobot31753002572805,1112,695235,168,Page 134,Text,No
mobot31753002572805,1112,695236,169,Page 135,Text,No
mobot31753002572805,1112,695237,170,Page 136,Text,No
mobot31753002572805,1112,695238,171,Page 137,Text,No
mobot31753002572805,1112,695239,172,Page 138,Text,No
mobot31753002572805,1112,695240,173,Page 139,Text,No
mobot31753002572805,1112,695241,174,Page 140,Text,No
mobot31753002572805,1112,695242,175,Page 141,Text,No
mobot31753002572805,1112,695243,176,,Text,No
mobot31753002572805,1112,695244,177,,Text,No
mobot31753002572805,1112,695245,178,,"Title Page, Text",No
mobot31753002572805,1112,695246,179,,Text,No
mobot31753002572805,1112,695247,180,Page 143,Text,No
mobot31753002572805,1112,695248,181,Page 144,Text,No
mobot31753002572805,1112,695249,182,Page 145,Text,No
mobot31753002572805,1112,695250,183,Page 146,Text,No
mobot31753002572805,1112,695251,184,Page 147,Text,No
mobot31753002572805,1112,695252,185,Page 148,Text,No
mobot31753002572805,1112,695253,186,Page 149,Text,No
mobot31753002572805,1112,695254,187,Page 150,Text,No
mobot31753002572805,1112,695255,188,Page 151,Text,No
mobot31753002572805,1112,695256,189,Page 152,Text,No
mobot31753002572805,1112,695257,190,Page 153,Text,No
mobot31753002572805,1112,695258,191,Page 154,Text,No
mobot31753002572805,1112,695259,192,Page 155,Text,No
mobot31753002572805,1112,695260,193,Page 156,Text,No
mobot31753002572805,1112,695261,194,Page 157,Text,No
mobot31753002572805,1112,695262,195,Page 158,Text,No
mobot31753002572805,1112,695263,196,Page 159,Text,No
mobot31753002572805,1112,695264,197,Page 160,Text,No
mobot31753002572805,1112,695265,198,Page 161,Text,No
mobot31753002572805,1112,695266,199,Page 162,Text,No
mobot31753002572805,1112,695267,200,Page 163,Text,No
mobot31753002572805,1112,695268,201,Page 164,Text,No
mobot31753002572805,1112,695269,202,Page 165,Text,No
mobot31753002572805,1112,695270,203,Page 166,Text,No
mobot31753002572805,1112,695271,204,Page 167,Text,No
mobot31753002572805,1112,695272,205,Tab. 1,Illustration,Yes
mobot31753002572805,1112,695273,206,Tab. 2,Illustration,Yes
mobot31753002572805,1112,695274,207,Tab. 3,Illustration,Yes
mobot31753002572805,1112,695275,208,Tab. 4,Illustration,Yes
mobot31753002572805,1112,695276,209,Tab. 5,Illustration,Yes
mobot31753002572805,1112,695277,210,Tab. 6,Illustration,Yes
mobot31753002572805,1112,695278,211,Tab. 7,Illustration,Yes
mobot31753002572805,1112,695279,212,Tab. 8,Illustration,Yes
mobot31753002572805,1112,695280,213,Tab. 9,Illustration,Yes
mobot31753002572805,1112,695281,214,Tab. 10,Illustration,Yes
mobot31753002572805,1112,695282,215,Tab. 11,Illustration,Yes
mobot31753002572805,1112,695283,216,Tab. 12,Illustration,Yes
mobot31753002572805,1112,695284,217,Tab. 13,Illustration,Yes
mobot31753002572805,1112,695285,218,Tab. 14,Illustration,Yes
mobot31753002572805,1112,695286,219,Tab. 15,Illustration,Yes
mobot31753002572805,1112,695287,220,Tab. 16,Illustration,Yes
mobot31753002572805,1112,695288,221,Tab. 17,Illustration,Yes
mobot31753002572805,1112,695289,222,Tab. 18,Illustration,Yes
mobot31753002572805,1112,695290,223,Tab. 19,Illustration,Yes
mobot31753002572805,1112,695291,224,Tab. 20,Illustration,Yes
mobot31753002572805,1112,695292,225,Tab. 21,Illustration,Yes
mobot31753002572805,1112,695293,226,Tab. 22,Illustration,Yes
mobot31753002572805,1112,695294,227,Tab. 23,Illustration,Yes
mobot31753002572805,1112,695295,228,Tab. 24,Illustration,Yes
mobot31753002572805,1112,695296,229,Tab. 25,Illustration,Yes
mobot31753002572805,1112,695297,230,Tab. 26,Illustration,Yes
mobot31753002572805,1112,695298,231,Tab. 27,Illustration,Yes
mobot31753002572805,1112,695299,232,Tab. 28,Illustration,Yes
mobot31753002572805,1112,695300,233,,Text,No
mobot31753002572805,1112,695301,234,,Text,No
mobot31753002572805,1112,695302,235,Page 169,Text,No
mobot31753002572805,1112,695303,236,Page 170,Text,No
mobot31753002572805,1112,695304,237,Page 171,Text,No
mobot31753002572805,1112,695305,238,Page 172,Text,No
mobot31753002572805,1112,695306,239,Page 173,Text,No
mobot31753002572805,1112,695307,240,Page 174,Text,No
mobot31753002572805,1112,695308,241,Page 175,Text,No
mobot31753002572805,1112,695309,242,Page 176,Text,No
mobot31753002572805,1112,695310,243,Page 177,Text,No
mobot31753002572805,1112,695311,244,Page 178,Text,No
mobot31753002572805,1112,695312,245,Plate 1,Illustration,Yes
mobot31753002572805,1112,695313,246,Page 179,Text,No
mobot31753002572805,1112,695314,247,Page 180,Text,No
mobot31753002572805,1112,695315,248,Page 181,Text,No
mobot31753002572805,1112,695316,249,Page 182,Text,No
mobot31753002572805,1112,695317,250,Page 183,Text,No
mobot31753002572805,1112,695318,251,Page 184,Text,No
mobot31753002572805,1112,695319,252,Page 185,Text,No
mobot31753002572805,1112,695320,253,Page 186,Text,No
mobot31753002572805,1112,695321,254,Page 187,Text,No
mobot31753002572805,1112,695322,255,Page 188,Text,No
mobot31753002572805,1112,695323,256,Page 189,Text,No
mobot31753002572805,1112,695324,257,Page 190,Text,No
mobot31753002572805,1112,695325,258,Page 191,Text,No
mobot31753002572805,1112,695326,259,Page 192,Text,No
mobot31753002572805,1112,695327,260,Page 193,Text,No
mobot31753002572805,1112,695328,261,Page 194,Text,No
mobot31753002572805,1112,695329,262,Page 195,Text,No
mobot31753002572805,1112,695330,263,Page 196,Text,No
mobot31753002572805,1112,695331,264,Page 197,Text,No
mobot31753002572805,1112,695332,265,Page 198,Text,No
mobot31753002572805,1112,695333,266,Page 199,Text,No
mobot31753002572805,1112,695334,267,Page 200,Text,No
mobot31753002572805,1112,695335,268,Page 201,Text,No
mobot31753002572805,1112,695336,269,Page 202,Text,No
mobot31753002572805,1112,695337,270,Page 203,Text,No
mobot31753002572805,1112,695338,271,Page 204,Text,No
mobot31753002572805,1112,695339,272,Page 205,Text,No
mobot31753002572805,1112,695340,273,Page 206,Text,No
mobot31753002572805,1112,695341,274,Page 207,Text,No
mobot31753002572805,1112,695342,275,Page 208,Text,No
mobot31753002572805,1112,695343,276,Page 209,Text,No
mobot31753002572805,1112,695344,277,Page 210,Text,No
mobot31753002572805,1112,695345,278,Page 211,Text,No
mobot31753002572805,1112,695346,279,Page 212,Text,No
mobot31753002572805,1112,695347,280,Page 213,Text,No
mobot31753002572805,1112,695348,281,Page 214,Text,No
mobot31753002572805,1112,695349,282,Page 215,Text,No
mobot31753002572805,1112,695350,283,Page 216,Text,No
mobot31753002572805,1112,695351,284,Page 217,Text,No
mobot31753002572805,1112,695352,285,Page 218,Text,No
mobot31753002572805,1112,695353,286,Page 219,Text,No
mobot31753002572805,1112,695354,287,Page 220,Text,No
mobot31753002572805,1112,695355,288,Page 221,Text,No
mobot31753002572805,1112,695356,289,Page 222,Text,No
mobot31753002572805,1112,695357,290,Page 223,Text,No
mobot31753002572805,1112,695358,291,Page 224,Text,No
mobot31753002572805,1112,695359,292,Page 225,Text,No
mobot31753002572805,1112,695360,293,Page 226,Text,No
mobot31753002572805,1112,695361,294,Page 227,Text,No
mobot31753002572805,1112,695362,295,Page 228,Text,No
mobot31753002572805,1112,695363,296,Page 229,Text,No
mobot31753002572805,1112,695364,297,Page 230,Text,No
mobot31753002572805,1112,695365,298,Page 231,Text,No
mobot31753002572805,1112,695366,299,Page 232,Text,No
mobot31753002572805,1112,695367,300,Page 233,Text,No
mobot31753002572805,1112,695368,301,Page 234,Text,No
mobot31753002572805,1112,695369,302,Page 235,Text,No
mobot31753002572805,1112,695370,303,Page 236,Text,No
mobot31753002572805,1112,695371,304,Page 237,Text,No
mobot31753002572805,1112,695372,305,Page 238,Text,No
mobot31753002572805,1112,695373,306,Page 239,Text,No
mobot31753002572805,1112,695374,307,Page 240,Text,No
mobot31753002572805,1112,695375,308,Page 241,Text,No
mobot31753002572805,1112,695376,309,Page 242,Text,No
mobot31753002572805,1112,695377,310,Page 243,Text,No
mobot31753002572805,1112,695378,311,Page 244,Text,No
mobot31753002572805,1112,695379,312,Page 245,Text,No
mobot31753002572805,1112,695380,313,Page 246,Text,No
mobot31753002572805,1112,695381,314,,Text,No
mobot31753002572805,1112,695382,315,,Text,No
mobot31753002572805,1112,695383,316,,"Title Page, Text",No
mobot31753002572805,1112,695384,317,,Text,No
mobot31753002572805,1112,695385,318,Page 247,Text,No
mobot31753002572805,1112,695386,319,Page 248,Text,No
mobot31753002572805,1112,695387,320,Page 249,Text,No
mobot31753002572805,1112,695388,321,Page 251,Text,No
mobot31753002572805,1112,695389,322,Page 252,Text,No
mobot31753002572805,1112,695390,323,Page 253,Text,No
mobot31753002572805,1112,695391,324,Page 254,Text,No
mobot31753002572805,1112,695392,325,Page 255,Text,No
mobot31753002572805,1112,695393,326,Page 256,Text,No
mobot31753002572805,1112,695394,327,Page 257,Text,No
mobot31753002572805,1112,695395,328,Page 258,Text,No
mobot31753002572805,1112,695396,329,Page 259,Illustration,Yes
mobot31753002572805,1112,695397,330,Page 260,Illustration,Yes
mobot31753002572805,1112,695398,331,Page 261,Illustration,Yes
mobot31753002572805,1112,695399,332,Page 262,Illustration,Yes
mobot31753002572805,1112,695400,333,Page 263,Text,No
mobot31753002572805,1112,695401,334,Page 264,Text,No
mobot31753002572805,1112,695402,335,Page 265,Text,No
mobot31753002572805,1112,695403,336,Page 266,Text,No
mobot31753002572805,1112,695404,337,Page 267,Text,No
mobot31753002572805,1112,695405,338,Page 268,Text,No
mobot31753002572805,1112,695406,339,Page 269,Text,No
mobot31753002572805,1112,695407,340,Page 271,Text,No
mobot31753002572805,1112,695408,341,Page 272,Text,No
mobot31753002572805,1112,695409,342,Page 273,Text,No
mobot31753002572805,1112,695410,343,Page 274,Text,No
mobot31753002572805,1112,695411,344,Page 275,Text,No
mobot31753002572805,1112,695412,345,Page 277,Text,No
mobot31753002572805,1112,695413,346,Page 278,Text,No
mobot31753002572805,1112,695414,347,Page 279,Text,No
mobot31753002572805,1112,695415,348,Page 280,Text,No
mobot31753002572805,1112,695416,349,Page 281,Text,No
mobot31753002572805,1112,695417,350,Page 282,Text,No
mobot31753002572805,1112,695418,351,Page 283,Text,No
mobot31753002572805,1112,695419,352,Page 284,Text,No
mobot31753002572805,1112,695420,353,Page 285,Text,No
mobot31753002572805,1112,695421,354,Page 286,Text,No
mobot31753002572805,1112,695422,355,Page 287,Text,No
mobot31753002572805,1112,695423,356,Page 288,Text,No
mobot31753002572805,1112,695424,357,Page 289,Text,No
mobot31753002572805,1112,695425,358,Page 290,Text,No
mobot31753002572805,1112,695426,359,Page 291,Text,No
mobot31753002572805,1112,695427,360,Page 292,Text,No
mobot31753002572805,1112,695428,361,Page 293,Text,No
mobot31753002572805,1112,695429,362,Page 294,Text,No
mobot31753002572805,1112,695430,363,Page 295,Text,No
mobot31753002572805,1112,695431,364,Page 296,Text,No
mobot31753002572805,1112,695432,365,Page 297,Text,No
mobot31753002572805,1112,695433,366,Page 298,Text,No
mobot31753002572805,1112,695434,367,Page 299,Text,No
mobot31753002572805,1112,695435,368,Page 300,Text,No
mobot31753002572805,1112,695436,369,Page 301,Text,No
mobot31753002572805,1112,695437,370,Page 302,Text,No
mobot31753002572805,1112,695438,371,Page 303,Text,No
mobot31753002572805,1112,695439,372,Page 305,Text,No
mobot31753002572805,1112,695440,373,,Text,No
mobot31753002572805,1112,695441,374,,Text,No
mobot31753002572805,1112,695442,375,,"Title Page, Text",No
mobot31753002572805,1112,695443,376,,Text,No
mobot31753002572805,1112,695444,377,Page 307,Text,No
mobot31753002572805,1112,695445,378,Page 308,Text,No
mobot31753002572805,1112,695446,379,Page 309,Text,No
mobot31753002572805,1112,695447,380,Page 310,Text,No
mobot31753002572805,1112,695448,381,Page 311,Text,No
mobot31753002572805,1112,695449,382,Page 312,Text,No
mobot31753002572805,1112,695450,383,Page 313,Text,No
mobot31753002572805,1112,695451,384,Page 314,Text,No
mobot31753002572805,1112,695452,385,Page 315,Text,No
mobot31753002572805,1112,695453,386,Page 316,Text,No
mobot31753002572805,1112,695454,387,Page 317,Text,No
mobot31753002572805,1112,695455,388,Page 318,Text,No
mobot31753002572805,1112,695456,389,Page 319,Text,No
mobot31753002572805,1112,695457,390,Page 320,Text,No
mobot31753002572805,1112,695458,391,Page 321,Text,No
mobot31753002572805,1112,695459,392,Page 322,Text,No
mobot31753002572805,1112,695460,393,Page 323,Text,No
mobot31753002572805,1112,695461,394,Page 324,Text,No
mobot31753002572805,1112,695462,395,Page 325,Text,No
mobot31753002572805,1112,695463,396,Page 326,Text,No
mobot31753002572805,1112,695464,397,Page 327,Text,No
mobot31753002572805,1112,695465,398,Page 328,Text,No
mobot31753002572805,1112,695466,399,Page 329,Text,No
mobot31753002572805,1112,695467,400,Page 330,Text,No
mobot31753002572805,1112,695468,401,Page 331,Text,No
mobot31753002572805,1112,695469,402,Page 332,Text,No
mobot31753002572805,1112,695470,403,Page 333,Text,No
mobot31753002572805,1112,695471,404,Page 334,Text,No
mobot31753002572805,1112,695472,405,Page 335,Text,No
mobot31753002572805,1112,695473,406,Page 336,Text,No
mobot31753002572805,1112,695474,407,Page 337,Text,No
mobot31753002572805,1112,695475,408,Page 338,Text,No
mobot31753002572805,1112,695476,409,Page 339,Text,No
mobot31753002572805,1112,695477,410,Page 340,Text,No
mobot31753002572805,1112,695478,411,Page 341,Text,No
mobot31753002572805,1112,695479,412,Page 342,Text,No
mobot31753002572805,1112,695480,413,Page 343,Text,No
mobot31753002572805,1112,695481,414,Page 344,Text,No
mobot31753002572805,1112,695482,415,Page 345,Text,No
mobot31753002572805,1112,695483,416,Page 346,Text,No
mobot31753002572805,1112,695484,417,Page 347,Text,No
mobot31753002572805,1112,695485,418,Page 348,Text,No
mobot31753002572805,1112,695486,419,Page 349,Text,No
mobot31753002572805,1112,695487,420,Page 350,Text,No
mobot31753002572805,1112,695488,421,Page 351,Text,No
mobot31753002572805,1112,695489,422,Page 352,Text,No
mobot31753002572805,1112,695490,423,Page 353,Text,No
mobot31753002572805,1112,695491,424,Page 354,Text,No
mobot31753002572805,1112,695492,425,Page 355,Text,No
mobot31753002572805,1112,695493,426,Page 356,Text,No
mobot31753002572805,1112,695494,427,Page 357,Text,No
mobot31753002572805,1112,695495,428,Page 358,Text,No
mobot31753002572805,1112,695496,429,Page 359,Text,No
mobot31753002572805,1112,695497,430,Page 360,Text,No
mobot31753002572805,1112,695498,431,Page 361,Text,No
mobot31753002572805,1112,695499,432,Page 362,Text,No
mobot31753002572805,1112,695500,433,Page 363,Text,No
mobot31753002572805,1112,695501,434,Page 364,Text,No
mobot31753002572805,1112,695502,435,Page 365,Text,No
mobot31753002572805,1112,695503,436,Page 366,Text,No
mobot31753002572805,1112,695504,437,Page 367,Text,No
mobot31753002572805,1112,695505,438,Page 368,Text,No
mobot31753002572805,1112,695506,439,Page 369,Text,No
mobot31753002572805,1112,695507,440,Page 370,Text,No
mobot31753002572805,1112,695508,441,Page 371,Text,No
mobot31753002572805,1112,695509,442,Page 372,Text,No
mobot31753002572805,1112,695510,443,Page 373,Text,No
mobot31753002572805,1112,695511,444,Page 374,Text,No
mobot31753002572805,1112,695512,445,Page 375,Text,No
mobot31753002572805,1112,695513,446,Page 376,Text,No
mobot31753002572805,1112,695514,447,Page 377,Text,No
mobot31753002572805,1112,695515,448,Page 378,Text,No
mobot31753002572805,1112,695516,449,Page 379,Text,No
mobot31753002572805,1112,695517,450,Page 380,Text,No
mobot31753002572805,1112,695518,451,Page 381,Text,No
mobot31753002572805,1112,695519,452,Page 382,Text,No
mobot31753002572805,1112,695520,453,Page 383,Text,No
mobot31753002572805,1112,695521,454,Page 384,Text,No
mobot31753002572805,1112,695522,455,Page 385,Text,No
mobot31753002572805,1112,695523,456,Page 386,Text,No
mobot31753002572805,1112,695524,457,Page 387,Text,No
mobot31753002572805,1112,695525,458,Page 388,Text,No
mobot31753002572805,1112,695526,459,Page 389,Text,No
mobot31753002572805,1112,695527,460,Page 390,Text,No
mobot31753002572805,1112,695528,461,Page 391,Text,No
mobot31753002572805,1112,695529,462,Page 392,Text,No
mobot31753002572805,1112,695530,463,,Text,No
mobot31753002572805,1112,695531,464,,Text,No
mobot31753002572805,1112,695532,465,,Text,No
mobot31753000121308,1822,7469258,1,,"Text, Cover",No
mobot31753000121308,1822,7469259,2,Page [i],"Title Page, Text",No
mobot31753000121308,1822,7469260,3,Page [ii],Text,No
mobot31753000121308,1822,7469261,4,Page [iii],Text,No
mobot31753000121308,1822,7469262,5,Page iv,Text,No
mobot31753000121308,1822,7469263,6,Page v,Text,No
mobot31753000121308,1822,7469264,7,Page vi,Text,No
mobot31753000121308,1822,7469265,8,Page vii,Text,No
mobot31753000121308,1822,7469266,9,Page viii,Text,No
mobot31753000121308,1822,7469267,10,Page [ix],"Text, Table of Contents",No
mobot31753000121308,1822,7469268,11,Page [x],"Text, Blank",No
mobot31753000121308,1822,7469269,12,Page [xi],Text,No
mobot31753000121308,1822,7469270,13,Page xii,Text,No
mobot31753000121308,1822,7469271,14,Page xiii,Text,No
mobot31753000121308,1822,7469272,15,Page xiv,Text,No
mobot31753000121308,1822,7469273,16,,Text,No
mobot31753000121308,1822,7469275,17,Page [1],Text,No
mobot31753000121308,1822,7469276,18,Page 2,Text,No
mobot31753000121308,1822,7469277,19,Page 3,Text,No
mobot31753000121308,1822,7469278,20,Page 4,Text,No
mobot31753000121308,1822,7469279,21,Page 5,Text,No
mobot31753000121308,1822,7469280,22,Page 6,Text,No
mobot31753000121308,1822,7469281,23,Page 7,Text,No
mobot31753000121308,1822,7469282,24,Page 8,Text,No
mobot31753000121308,1822,7469283,25,Page 9,Text,No
mobot31753000121308,1822,7469284,26,Page 10,Text,No
mobot31753000121308,1822,7469285,27,Page 11,Text,No
mobot31753000121308,1822,7469286,28,Page 12,Text,No
mobot31753000121308,1822,7469287,29,Page 13,Text,No
mobot31753000121308,1822,7469288,30,Page 14,Text,No
mobot31753000121308,1822,7469289,31,Page 15,Text,No
mobot31753000121308,1822,7469290,32,Page 16,Text,No
mobot31753000121308,1822,7469291,33,Page 17,Text,No
mobot31753000121308,1822,7469292,34,Page 18,Text,No
mobot31753000121308,1822,7469293,35,Page 19,Text,No
mobot31753000121308,1822,7469294,36,Page 20,Text,No
mobot31753000121308,1822,7469295,37,Page 21,Text,No
mobot31753000121308,1822,7469296,38,Page 22,Text,No
mobot31753000121308,1822,7469297,39,Page 23,Text,No
mobot31753000121308,1822,7469298,40,Page 24,Text,No
mobot31753000121308,1822,7469299,41,Page 25,Text,No
mobot31753000121308,1822,7469300,42,Page 26,Text,No
mobot31753000121308,1822,7469301,43,Page 27,Text,No
mobot31753000121308,1822,7469302,44,Page 28,Text,No
